          PARAMETER,     VALUE
                  L,      2000
                  H,       100
             brange,         8
              iseed,      1234
               tend,   1000.00
                 p1,      0.30
                  v,      1.00
               difv,    200.00
               mutv,      0.00
            fdgain1,      0.01
            scstick,      0.98
             prelax,      0.20
              tpinc,      1.00
                 tm,    200.00
             useomp,         0
            is64bit,         0
           timestep,      0.00
               npar,         0
