x,y
0,0
30,0
60,0
90,0
120,0
150,0
180,0
210,0
240,0
270,0
300,3.4977e-06
330,6.9954e-06
360,6.9954e-06
390,6.9954e-06
420,6.8908e-06
450,2.0986e-05
480,3.8172e-05
510,5.1154e-05
540,7.5225e-05
570,0.0001062
600,0.00016789
630,0.00025257
660,0.00038963
690,0.00054441
720,0.0007145
750,0.00088142
780,0.0010009
810,0.0011082
840,0.0011707
870,0.0012282
900,0.0012662
930,0.0012767
960,0.0012629
990,0.0012486
1020,0.001223
1050,0.0012032
1080,0.0011722
1110,0.0011256
1140,0.0010864
1170,0.0010487
1200,0.0010143
1230,0.00096301
1260,0.00091735
1290,0.00085771
1320,0.00080307
1350,0.00076599
1380,0.00072174
1410,0.00067643
1440,0.00062347
1470,0.00057166
1500,0.00051416
1530,0.00046973
1560,0.00043522
1590,0.00039602
1620,0.00035922
1650,0.00032179
1680,0.00029483
1710,0.00025671
1740,0.00022953
1770,0.00021637
1800,0.00019237
1830,0.00017205
1860,0.00015398
1890,0.00013808
1920,0.00012224
1950,0.00010843
1980,9.8429e-05
2010,9.0919e-05
2040,8.3861e-05
2070,7.6952e-05
2100,6.9954e-05
2130,6.6495e-05
2160,6.6832e-05
2190,6.2954e-05
2220,5.5947e-05
2250,5.2465e-05
2280,5.279e-05
2310,4.5468e-05
2340,4.547e-05
2370,4.5617e-05
2400,4.1972e-05
2430,4.2297e-05
2460,3.4975e-05
2490,3.4977e-05
2520,3.4974e-05
2550,3.1479e-05
2580,2.4526e-05
2610,2.4484e-05
2640,2.4484e-05
2670,2.4484e-05
2700,2.4484e-05
2730,2.0976e-05
2760,2.0981e-05
2790,1.2655e-05
2820,6.9938e-06
2850,6.9954e-06
2880,6.9954e-06
2910,6.9955e-06
2940,3.0414e-06
2970,4.1025e-10
3000,0
